,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Prr15,2.55E-25,3.738096528,0.615,0.091,5.95E-21
Arxes1,4.96E-22,3.574737605,0.642,0.207,1.16E-17
Cyp26a1,6.17E-15,3.543868256,0.406,0.055,1.44E-10
Npy1r,3.13E-31,3.28779803,0.866,0.427,7.30E-27
Wfdc17,5.09E-09,3.137991848,0.23,0.018,0.000118612
A630023A22Rik,4.27E-14,2.861559254,0.412,0.061,9.95E-10
Crybb3,1.54E-10,2.622892901,0.326,0.055,3.59E-06
Serpina3i,3.03E-07,2.619594879,0.176,0.012,0.007060428
Traf3ip3,9.70E-19,2.601511611,0.62,0.177,2.26E-14
Arhgef38,3.33E-08,2.49687026,0.348,0.104,0.000775836
Fxyd7,3.38E-20,2.47527824,0.872,0.726,7.87E-16
Ggt5,1.67E-14,2.315048785,0.551,0.159,3.89E-10
Cdkn1a,1.77E-19,2.314035815,0.786,0.439,4.13E-15
Arxes2,2.49E-22,2.294925774,0.872,0.713,5.79E-18
Ccl21a,4.79E-07,2.252909845,0.187,0.018,0.011147847
Tifa,6.15E-25,2.205053868,0.866,0.482,1.43E-20
Tspan2,4.08E-08,2.090099023,0.433,0.171,0.000949035
Cdkn3,7.83E-09,2.05381515,0.353,0.091,0.000182342
Ebf4,4.89E-09,2.036469138,0.401,0.122,0.0001138
Mfsd4b1,6.38E-08,1.981230438,0.289,0.061,0.00148518
Sox11,6.98E-12,1.961205964,0.674,0.372,1.63E-07
Phlda1,5.34E-29,1.903141422,0.957,0.787,1.24E-24
Mtus2,1.17E-11,1.864311151,0.561,0.232,2.73E-07
Rgs6,2.78E-13,1.831747042,0.845,0.652,6.48E-09
Dnah8,4.48E-07,1.665607666,0.246,0.049,0.010442158
Ier5l,3.08E-10,1.605118244,0.433,0.128,7.17E-06
Shf,4.63E-10,1.549001792,0.524,0.207,1.08E-05
Vgf,4.79E-16,1.548479841,0.861,0.591,1.12E-11
Bcl6,1.26E-12,1.506696206,0.615,0.244,2.94E-08
Calca,7.45E-10,1.506072522,0.888,0.872,1.73E-05
Serpina3n,3.98E-31,1.501929782,0.984,0.957,9.26E-27
Myocd,1.27E-06,1.49347562,0.476,0.238,0.029494543
Nptx2,1.10E-09,1.460348647,0.658,0.348,2.57E-05
Rec114,1.21E-06,1.359839218,0.406,0.177,0.028200983
Top1mt,1.32E-06,1.34448406,0.433,0.183,0.030807058
Lgals3,7.27E-07,1.300409522,0.417,0.177,0.016933231
Syngr2,1.68E-06,1.250223901,0.476,0.232,0.039060888
Fxyd1,6.25E-07,1.24863529,0.62,0.409,0.014545728
Rgs2,3.51E-13,1.227432404,0.861,0.683,8.17E-09
Bcl3,3.74E-09,1.226799718,0.642,0.317,8.71E-05
Ppp1r14c,5.21E-08,1.187729566,0.561,0.28,0.001212883
Lxn,8.01E-08,1.174118686,0.824,0.616,0.001865461
Vim,7.36E-17,1.133970061,0.957,0.86,1.71E-12
Parp3,1.94E-07,1.098594126,0.428,0.171,0.004516559
Bcl2,5.89E-08,1.07054736,0.717,0.488,0.001371426
Rhou,5.63E-12,1.069977008,0.882,0.671,1.31E-07
Ifi27l2a,2.88E-07,1.069618352,0.963,0.896,0.00670504
Lix1,3.51E-10,1.065511907,0.925,0.805,8.17E-06
Susd2,2.73E-22,1.051361251,0.979,0.884,6.36E-18
Kif22,6.88E-11,1.03834264,0.898,0.848,1.60E-06
Cst3,1.04E-13,1.019549814,0.995,0.976,2.42E-09
Agtrap,5.56E-10,0.999773621,0.786,0.543,1.29E-05
Bdnf,1.10E-16,0.941467302,0.968,0.896,2.55E-12
Ugcg,3.87E-14,0.924616372,0.936,0.872,9.01E-10
Tnfrsf1a,1.40E-06,0.911198629,0.679,0.421,0.03267497
Id3,6.96E-07,0.89133951,0.749,0.47,0.016203643
Cd63,1.63E-12,0.880033897,0.973,0.896,3.80E-08
Emp3,3.05E-12,0.85250417,0.979,0.878,7.10E-08
Mpv17l2,8.85E-07,0.845179145,0.754,0.573,0.020599536
Arpc1b,3.67E-22,0.836136632,0.984,0.957,8.55E-18
Lgals1,1.95E-13,0.835239599,0.995,0.988,4.53E-09
Ptpn1,1.19E-11,0.83378134,0.909,0.756,2.76E-07
Kcng1,4.07E-07,0.82578737,0.856,0.701,0.009487416
Flrt3,6.17E-10,0.793087858,0.925,0.817,1.44E-05
Card19,1.43E-06,0.790966599,0.824,0.665,0.03333635
Nectin3,3.62E-13,0.784100815,0.947,0.878,8.42E-09
Tmem205,2.05E-08,0.768257,0.872,0.72,0.000477778
Dusp26,1.80E-19,0.757404279,0.968,0.939,4.19E-15
Psmb3,6.36E-09,0.754076866,0.968,0.933,0.000148071
Slk,5.57E-11,0.747150064,0.947,0.86,1.30E-06
Bud31,1.10E-06,0.736698261,0.791,0.64,0.025641988
Rbm3,8.13E-14,0.731607151,0.963,0.945,1.89E-09
Prr13,1.39E-22,0.72950596,0.995,0.97,3.23E-18
Laptm4b,9.25E-10,0.72678112,0.898,0.817,2.15E-05
Susd6,4.48E-10,0.724762413,0.936,0.902,1.04E-05
Cnst,1.51E-08,0.71572732,0.845,0.677,0.000352538
Socs3,8.46E-09,0.710089481,0.866,0.604,0.000197055
Camk2n1,2.99E-08,0.707710638,0.963,0.957,0.000697455
Ehd3,1.63E-12,0.704213874,0.968,0.933,3.80E-08
Galnt9,7.95E-07,0.704208205,0.893,0.817,0.018507664
Psma5,6.04E-10,0.698391466,0.947,0.878,1.41E-05
Fdps,1.59E-12,0.680420876,0.995,0.957,3.71E-08
Gstm5,3.60E-07,0.66461729,0.947,0.884,0.008378117
Ctnnbl1,6.96E-08,0.662383008,0.898,0.78,0.001620786
Hs6st1,5.07E-13,0.653906598,0.963,0.951,1.18E-08
Adcyap1,1.70E-11,0.653019073,0.995,0.97,3.96E-07
Dbi,2.67E-08,0.652537118,0.989,0.982,0.000620645
Sbno2,1.68E-07,0.608815251,0.882,0.707,0.003909037
Mvd,2.76E-07,0.602872012,0.84,0.622,0.006417924
Prdx2,1.30E-09,0.599966855,0.995,0.982,3.02E-05
Nme2,2.05E-19,0.593643558,0.984,0.982,4.78E-15
Fabp5,7.50E-10,0.589416144,0.995,0.994,1.75E-05
Tceal9,1.29E-14,0.588527009,0.979,0.982,3.01E-10
Clic1,6.47E-10,0.587488723,0.973,0.97,1.51E-05
Fam162a,1.63E-07,0.580466891,0.952,0.909,0.003786535
Rhoc,2.41E-07,0.577126131,0.898,0.75,0.005618323
Ubac1,1.36E-06,0.576292352,0.936,0.878,0.031774612
Arl6ip4,7.92E-07,0.573170628,0.925,0.872,0.018452676
Tmem100,1.17E-07,0.571881692,0.968,0.939,0.00273053
Psma7,7.21E-10,0.568068986,0.984,0.982,1.68E-05
Cacna2d1,2.84E-11,0.560685043,0.989,0.945,6.62E-07
Rbis,5.90E-09,0.554001819,0.93,0.823,0.000137361
Eif3k,1.81E-08,0.543542291,0.979,0.976,0.000420578
Swi5,2.70E-11,0.543188732,0.989,0.97,6.28E-07
Cd24a,1.05E-07,0.542067211,0.979,0.97,0.002435037
Taf10,1.36E-06,0.539071407,0.957,0.878,0.031786829
Gpx1,2.54E-11,0.537226458,0.984,0.976,5.90E-07
Psenen,1.20E-07,0.529782616,0.963,0.945,0.00280236
Fbxo2,5.54E-09,0.529480776,0.989,0.963,0.000129117
Pgls,8.73E-09,0.52404901,0.984,0.933,0.000203378
Myl12b,5.44E-08,0.522448461,0.989,0.982,0.001268013
Crip1,1.50E-06,0.517640726,0.984,0.97,0.034984398
Atp1b1,5.23E-07,0.514104433,0.973,0.982,0.012185414
S100a11,3.07E-08,0.51299152,0.989,0.988,0.000715153
Tm2d1,2.14E-09,0.512489967,0.984,0.957,4.99E-05
Nacc2,9.02E-13,0.511722704,0.995,0.963,2.10E-08
Ctnnbip1,1.89E-08,0.509583828,0.957,0.927,0.0004404
Pin4,7.26E-08,0.509229918,0.957,0.921,0.00169168
Slc25a1,7.28E-10,0.507938853,0.952,0.939,1.70E-05
Cox5a,3.77E-12,0.506402553,1,0.994,8.79E-08
Uqcrb,1.32E-07,0.505488658,0.989,0.97,0.00308555
Cda,3.59E-08,0.495287529,0.957,0.939,0.000836736
Sfr1,7.24E-09,0.490958386,0.979,0.933,0.000168532
Npdc1,4.80E-10,0.487772209,0.984,0.945,1.12E-05
Terf1,1.33E-08,0.482742319,0.957,0.951,0.00030898
Snf8,1.06E-07,0.476841808,0.936,0.902,0.002474332
Emc6,1.80E-08,0.469978865,0.963,0.909,0.000420257
Timm10b,3.31E-07,0.466386532,0.963,0.97,0.007696736
Scd1,6.29E-08,0.464574229,0.989,0.976,0.001465202
Cox6c,2.25E-15,0.462468785,1,1,5.23E-11
Serpinb6a,1.75E-12,0.460525489,0.989,0.988,4.08E-08
Mrpl42,5.63E-08,0.452885242,0.957,0.872,0.001310348
Tmem147,3.01E-07,0.448665095,0.936,0.909,0.007018897
Anxa2,4.36E-08,0.448270571,0.989,0.994,0.001015059
Cnbp,8.79E-10,0.447971397,0.989,0.939,2.05E-05
Tubb2b,1.77E-07,0.447957143,0.984,0.982,0.004119569
Ftl1,3.30E-12,0.444885265,0.989,0.982,7.68E-08
Pmp22,4.38E-09,0.436115453,0.979,0.97,0.000102116
Mrpl20,8.88E-09,0.435604512,0.989,0.976,0.000206779
Atp6v0b,5.95E-07,0.430669277,0.989,0.982,0.013859688
Krtcap2,1.78E-08,0.430608558,0.968,0.939,0.000414906
Ube2d1,3.11E-08,0.430153959,0.968,0.951,0.000725285
Gapdh,1.14E-06,0.419928276,1,0.994,0.0264854
Mrpl51,2.45E-08,0.415350911,0.989,0.951,0.00057005
Tspan17,4.92E-09,0.414575457,0.979,0.982,0.000114496
Ube2k,1.56E-06,0.410636828,0.979,0.927,0.03635927
Ranbp1,1.43E-06,0.407051798,0.979,0.933,0.033334047
Mif,3.83E-07,0.406551143,0.984,0.976,0.008922722
Eif1,3.25E-17,0.398077127,1,1,7.56E-13
Pomp,4.81E-08,0.392016044,0.995,0.982,0.001119677
Prph,2.82E-12,0.385729127,1,0.994,6.56E-08
Cox5b,1.06E-06,0.385465133,0.995,0.982,0.024643093
Tpt1,1.56E-22,0.382158259,1,1,3.64E-18
Slc25a4,5.81E-12,0.379400649,1,1,1.35E-07
Rpl29,2.36E-08,0.378411667,1,0.97,0.000549868
Atp5g1,7.29E-09,0.376790361,1,0.982,0.000169817
Nap1l1,5.69E-08,0.374411101,0.979,0.97,0.001325206
S100a10,2.33E-08,0.374128029,1,1,0.000543261
Rps2,5.70E-13,0.373835402,0.984,0.994,1.33E-08
Skp1a,2.32E-09,0.372922786,0.995,0.982,5.40E-05
Tmem234,1.42E-06,0.372460112,0.952,0.939,0.033038649
Cox4i1,7.44E-12,0.367933446,0.995,0.994,1.73E-07
Rwdd1,3.24E-07,0.367880225,0.979,0.957,0.007548875
Btf3,2.22E-09,0.361725321,0.989,0.982,5.17E-05
Tmem176b,2.09E-07,0.348487362,0.995,1,0.004871259
Ywhah,1.13E-22,0.347549655,1,1,2.64E-18
Pdcd5,5.06E-08,0.342339847,0.995,0.976,0.001177558
Ap2s1,1.45E-06,0.337343893,0.979,0.963,0.033799751
Ndufa13,1.30E-06,0.335405446,0.989,1,0.03025182
Ndufb2,6.64E-07,0.332946221,0.989,0.976,0.015455448
Eloc,1.93E-07,0.331064684,0.989,0.976,0.00449917
Atp5d,6.48E-07,0.33071008,0.995,0.982,0.015082237
Snx10,2.38E-07,0.330604798,0.989,0.97,0.005531141
Eef1b2,4.61E-10,0.323846434,0.979,0.963,1.07E-05
Arpc2,2.61E-08,0.32358112,0.952,0.976,0.000607185
Rpl10a,5.98E-07,0.321051313,0.989,0.97,0.013934675
Eif5a,4.33E-07,0.318118242,0.979,0.963,0.010076187
Rps15,1.17E-06,0.316599789,1,0.988,0.027200585
Rps6,9.50E-08,0.312601991,0.984,0.957,0.002212504
Rbx1,4.88E-08,0.311207056,0.995,0.988,0.00113643
Rps17,5.09E-07,0.310011518,0.984,0.982,0.01185659
Txn1,1.88E-07,0.309552977,0.995,0.988,0.004373431
Rplp0,2.43E-07,0.307961997,0.973,0.982,0.00565698
Atp5h,1.70E-06,0.307307147,1,0.988,0.039595839
Arhgdig,1.82E-07,0.306339984,0.995,0.982,0.004238711
Cox6a1,1.54E-06,0.30300189,1,1,0.035829576
Rps13,2.39E-08,0.302509558,0.989,0.976,0.000556558
Rpl7,1.35E-06,0.29876773,0.989,0.976,0.031393752
Tomm5,1.63E-07,0.294137715,0.984,0.982,0.003803461
Rpl17,1.35E-09,0.293137909,0.989,0.988,3.13E-05
Vwa5a,1.55E-06,0.291604501,0.989,0.982,0.036207993
Rpl18,6.14E-08,0.290250555,0.979,0.976,0.001430936
Atp5l,4.97E-07,0.288886985,0.995,1,0.011567789
Bex2,4.19E-07,0.286875869,0.995,1,0.009750502
Stmn2,5.37E-08,0.282382082,1,1,0.001249454
Bex3,2.09E-08,0.28176076,0.995,0.988,0.000486969
Rpl14,3.17E-07,0.280672356,0.995,0.988,0.0073852
Rps18,4.60E-08,0.266246186,0.989,0.988,0.001070883
Ddah1,3.95E-07,0.266244867,0.973,0.994,0.009199328
Dynll1,4.93E-07,0.265672918,0.995,0.994,0.011472774
Npm1,1.62E-06,0.264753252,0.984,0.982,0.037764463
Rpl28,5.24E-09,0.264549306,0.989,0.994,0.000121998
Rps27l,1.26E-06,0.257900734,0.973,0.982,0.029377268
Map1lc3b,2.25E-07,0.248400939,0.979,1,0.005242847
Hsp90ab1,1.09E-09,0.245905277,0.995,1,2.54E-05
Rpl27,8.99E-07,0.240832465,0.989,0.994,0.020924855
Eef1a1,7.73E-08,0.236497942,0.995,1,0.001799434
Rps14,9.59E-08,0.235121283,0.995,0.994,0.002232615
Rps5,1.06E-06,0.234846666,0.989,1,0.024709437
Gabarap,6.41E-07,0.232191718,0.995,0.994,0.014919112
Uqcrq,1.87E-06,0.231519231,0.995,0.994,0.043626889
Rpl6,2.10E-06,0.228141705,0.984,0.988,0.048805984
Fstl1,3.12E-07,0.227208804,1,0.994,0.007262542
Chchd2,4.78E-07,0.198343144,1,1,0.011130879
Rpl23,3.12E-07,0.172519416,1,1,0.007262542
Rps28,1.02E-07,-0.223198639,0.989,0.988,0.002386668
Rpl37,2.21E-09,-0.234869728,0.995,1,5.14E-05
Rps21,1.90E-09,-0.262055678,1,0.994,4.43E-05
Rit2,2.74E-07,-0.269368232,0.995,0.988,0.006384933
Ebf1,4.20E-09,-0.27153579,1,1,9.77E-05
App,2.48E-09,-0.291127274,0.995,1,5.78E-05
Ywhab,6.96E-11,-0.30087695,0.995,0.988,1.62E-06
Map4,4.89E-09,-0.302765567,0.989,0.976,0.000113778
Elavl4,2.48E-08,-0.30833763,0.979,0.994,0.000577184
Camta1,3.21E-07,-0.313137156,0.979,0.982,0.007467389
L1cam,2.40E-07,-0.319381604,0.979,0.982,0.005578129
Ank2,1.59E-07,-0.324479807,0.989,1,0.003707181
Dpysl2,1.83E-08,-0.329911008,0.995,0.994,0.000427134
Ap2a2,6.58E-07,-0.331979632,0.973,0.994,0.015329811
Gnao1,5.71E-08,-0.333132926,0.973,0.994,0.001329363
Rps27,3.41E-14,-0.338612069,0.995,0.994,7.94E-10
2900097C17Rik,6.62E-11,-0.340899497,0.995,0.988,1.54E-06
Jak1,2.58E-08,-0.348814985,0.984,1,0.000600365
Gpx4,1.54E-12,-0.350740259,1,1,3.59E-08
Kcnab2,1.64E-06,-0.352046695,0.979,0.963,0.038255982
Cox17,2.99E-09,-0.357833024,0.979,0.982,6.96E-05
Itfg1,4.44E-08,-0.358200534,0.979,0.957,0.001032872
Pclo,9.68E-07,-0.361013516,0.968,0.976,0.022552937
Ppp1r2,1.44E-11,-0.36518782,0.984,0.988,3.36E-07
Timp2,1.04E-11,-0.366349253,0.984,0.988,2.42E-07
Etnk1,1.86E-07,-0.367657273,0.984,0.988,0.004323854
Scn11a,1.32E-06,-0.368240611,0.936,0.909,0.030730083
Fam89a,7.06E-07,-0.368750475,0.973,0.982,0.016450524
Rps29,7.00E-24,-0.378887025,0.995,1,1.63E-19
Rbfox1,1.15E-06,-0.379391524,0.952,0.982,0.026685021
Hecw1,1.09E-07,-0.385500918,0.936,0.957,0.002530531
Rbms3,3.18E-12,-0.392913823,1,1,7.40E-08
Phox2b,1.73E-06,-0.395010174,0.968,0.994,0.040220617
Nrn1,1.63E-06,-0.396393714,0.936,0.963,0.037904883
Mapt,6.05E-12,-0.399715137,0.989,0.988,1.41E-07
Ablim1,2.01E-07,-0.403579433,0.968,0.97,0.004679796
Atp1b3,2.11E-10,-0.404709991,0.984,0.97,4.90E-06
Snap25,8.30E-18,-0.40478357,0.989,1,1.93E-13
Soga3,2.82E-10,-0.405331281,0.973,0.982,6.58E-06
Cyfip2,5.84E-16,-0.414262718,0.989,1,1.36E-11
Enah,1.09E-08,-0.415109648,0.984,0.982,0.000254673
Gprasp1,5.01E-08,-0.417563217,0.957,0.994,0.001166879
6330403K07Rik,2.64E-08,-0.422702029,0.979,0.97,0.000614906
Nt5dc3,6.63E-08,-0.424459403,0.93,0.951,0.001544545
Ndrg4,4.66E-13,-0.432311089,0.984,0.994,1.09E-08
Eps15,3.53E-07,-0.438518465,0.941,0.945,0.008212695
Snhg11,2.31E-07,-0.439204931,0.973,0.982,0.005377005
Cygb,8.48E-08,-0.442013657,0.973,0.963,0.00197482
Mpped2,7.47E-10,-0.442888449,0.968,0.976,1.74E-05
Fnbp1,1.17E-06,-0.446756392,0.882,0.945,0.027187968
Peg3,1.45E-08,-0.44783936,0.973,0.994,0.000338346
Etl4,1.34E-06,-0.465346435,0.882,0.902,0.03124501
Stip1,1.20E-06,-0.470007976,0.904,0.957,0.027959595
Igf1r,1.89E-07,-0.470595757,0.941,0.939,0.004410207
Rbms1,3.30E-12,-0.47277974,0.984,0.988,7.68E-08
Ccser2,1.87E-10,-0.473834038,0.973,0.988,4.35E-06
Trarg1,5.62E-10,-0.477146132,0.963,0.97,1.31E-05
Il6st,6.13E-07,-0.479430015,0.904,0.902,0.014270988
Prkce,9.67E-09,-0.479450732,0.947,0.963,0.000225281
Zbtb20,1.35E-13,-0.480288553,0.979,0.982,3.15E-09
Rprm,4.61E-07,-0.481370127,0.92,0.963,0.010738814
Gnas,7.64E-16,-0.483479902,1,1,1.78E-11
Pde4dip,3.77E-07,-0.487440884,0.914,0.933,0.008771665
Rabgap1l,1.77E-08,-0.495249356,0.941,0.988,0.000412671
Ctnna2,1.04E-06,-0.496239182,0.979,0.988,0.024185043
Dgkg,2.99E-10,-0.497175765,0.936,0.976,6.96E-06
Anxa5,5.57E-13,-0.498580525,0.984,0.994,1.30E-08
Celf4,7.10E-16,-0.49864136,0.973,0.994,1.65E-11
Necab1,1.52E-10,-0.504075405,0.979,0.982,3.54E-06
Zdhhc21,8.69E-09,-0.504885104,0.93,0.963,0.000202416
Ppfia2,1.19E-06,-0.512711019,0.957,0.963,0.02761726
Cadm1,1.63E-10,-0.512916095,0.984,0.982,3.80E-06
Pkia,3.84E-07,-0.518098368,0.904,0.963,0.008935103
Negr1,5.03E-08,-0.523730142,0.973,0.988,0.001170508
Map2k4,1.73E-09,-0.524418996,0.93,0.957,4.03E-05
Fsd1l,1.45E-06,-0.528070224,0.882,0.921,0.033761948
Thra,8.32E-17,-0.536753845,0.984,0.988,1.94E-12
Atp2c1,5.81E-09,-0.538228842,0.925,0.963,0.000135398
Apba1,4.80E-09,-0.550588145,0.952,0.97,0.000111874
Map2,4.58E-07,-0.552834218,0.925,0.945,0.010670331
Unc13c,6.90E-07,-0.554322924,0.941,0.97,0.016080106
Hmg20a,3.49E-07,-0.557442177,0.674,0.835,0.008131917
Sgpp2,4.34E-09,-0.562407793,0.872,0.939,0.000101158
Tmeff2,9.88E-09,-0.562843816,0.93,0.97,0.000230083
Fbxl17,1.83E-08,-0.564273706,0.829,0.915,0.000425811
Scn10a,1.11E-10,-0.565730818,0.979,0.982,2.59E-06
Gng2,1.55E-20,-0.571929169,0.979,0.994,3.62E-16
Elavl2,2.21E-24,-0.573594075,0.995,1,5.14E-20
Astn2,1.42E-07,-0.574239962,0.963,0.982,0.003314472
Rgs3,7.85E-12,-0.578255212,0.936,0.976,1.83E-07
Aff3,1.52E-06,-0.587607269,0.834,0.927,0.035417848
Tmed8,5.73E-07,-0.588105612,0.888,0.945,0.01334153
Gramd1b,2.07E-06,-0.588357266,0.856,0.921,0.048093124
Xist,2.04E-07,-0.588775814,0.872,0.933,0.004750205
Akap12,1.30E-16,-0.590724267,0.989,0.988,3.02E-12
Plekha6,1.13E-09,-0.591903227,0.92,0.957,2.64E-05
Cbfb,3.37E-19,-0.593418249,0.968,0.994,7.84E-15
Fxyd2,1.27E-13,-0.597056947,0.995,1,2.96E-09
Cdk14,7.90E-09,-0.597517076,0.93,0.939,0.000183917
Snx7,2.96E-11,-0.600427057,0.963,0.982,6.89E-07
Nrg3,2.09E-07,-0.601707543,0.936,0.982,0.004865985
Homer1,5.14E-07,-0.603762339,0.701,0.823,0.011959776
Snap47,1.55E-09,-0.613753351,0.952,0.976,3.62E-05
Tle4,1.69E-18,-0.615774298,0.979,0.982,3.94E-14
Ano3,6.04E-10,-0.619198828,0.861,0.945,1.41E-05
Setd7,5.16E-07,-0.620275762,0.813,0.878,0.012010274
Ralyl,1.01E-09,-0.6233879,0.963,0.988,2.36E-05
Kpna1,1.93E-07,-0.624542759,0.882,0.957,0.004489497
Pbx1,6.25E-13,-0.628074883,0.952,0.982,1.46E-08
Ncdn,4.24E-16,-0.628262631,0.963,0.988,9.87E-12
Klhl9,2.84E-07,-0.631997463,0.845,0.884,0.00661358
AW549877,1.11E-07,-0.641882322,0.84,0.921,0.002593827
Trappc2,5.70E-08,-0.646995174,0.872,0.927,0.001327297
Kcnc4,9.16E-14,-0.653058602,0.93,0.97,2.13E-09
Gria4,6.79E-15,-0.653601936,0.973,0.994,1.58E-10
Gpr149,1.90E-09,-0.65625417,0.85,0.933,4.43E-05
Mctp1,1.37E-06,-0.664083411,0.936,0.976,0.031861928
Enpp5,1.44E-06,-0.671794052,0.775,0.854,0.033592636
Mtus1,3.82E-07,-0.681674255,0.775,0.884,0.008891378
Cnksr2,1.46E-08,-0.682956663,0.877,0.896,0.000340511
Pik3r1,1.18E-16,-0.68459098,0.968,0.988,2.74E-12
Ogt,1.21E-07,-0.690573062,0.829,0.902,0.002823736
Slc35a5,1.17E-08,-0.69336918,0.85,0.902,0.000272945
Adgrl3,1.10E-07,-0.709773411,0.813,0.872,0.002569877
Steap3,1.33E-20,-0.714910397,0.952,0.982,3.10E-16
Cd164,7.31E-07,-0.72574466,0.684,0.823,0.017028732
Auts2,1.44E-09,-0.738331408,0.882,0.939,3.36E-05
Zfp536,2.28E-11,-0.745742287,0.893,0.951,5.32E-07
Nbea,9.54E-09,-0.74990622,0.754,0.848,0.000222064
Gpr174,2.25E-09,-0.752480692,0.872,0.921,5.23E-05
Ssbp2,1.15E-09,-0.758568244,0.877,0.951,2.68E-05
Csmd1,1.98E-08,-0.760802226,0.93,0.982,0.000461695
Frmpd4,1.81E-08,-0.766766061,0.84,0.927,0.000421757
Rnf44,2.70E-07,-0.773329154,0.652,0.756,0.006287804
Nalcn,1.51E-07,-0.776765459,0.77,0.854,0.003514176
A230057D06Rik,1.34E-06,-0.789999572,0.636,0.774,0.031267513
Lrrtm2,1.99E-07,-0.796948028,0.642,0.793,0.004639397
Lig1,1.20E-06,-0.797107719,0.599,0.732,0.027991817
Nhs,2.91E-11,-0.797681357,0.84,0.933,6.77E-07
Lars2,8.52E-07,-0.802075469,0.642,0.78,0.019842203
Nyap2,2.05E-10,-0.811578536,0.759,0.89,4.77E-06
Amer2,4.10E-08,-0.819366273,0.615,0.787,0.000955019
Npy2r,1.09E-07,-0.822655883,0.754,0.89,0.002546869
Gria2,6.94E-07,-0.833475087,0.465,0.707,0.016154132
Slc5a3,1.72E-06,-0.838064155,0.492,0.701,0.040023927
Kcnmb2,7.90E-11,-0.856687506,0.813,0.915,1.84E-06
Gm20642,1.53E-07,-0.858093048,0.305,0.537,0.003571274
Nrxn1,2.36E-18,-0.870603325,0.995,1,5.49E-14
Slitrk2,9.29E-08,-0.872351569,0.369,0.622,0.002163734
Ccser1,1.32E-08,-0.87382473,0.77,0.878,0.000306417
Cilp,1.14E-06,-0.879547184,0.476,0.683,0.026520271
Gria3,5.28E-12,-0.88313676,0.797,0.902,1.23E-07
Ache,1.05E-13,-0.890890441,0.775,0.902,2.44E-09
Ngb,1.96E-10,-0.891041042,0.722,0.86,4.56E-06
mt-Nd4l,1.94E-22,-0.900765628,0.973,1,4.53E-18
Gnb4,1.69E-07,-0.903055246,0.599,0.817,0.003928321
Fhod3,1.34E-11,-0.909172397,0.69,0.878,3.12E-07
Upp2,1.48E-09,-0.916615001,0.658,0.805,3.46E-05
Nrg3os,1.50E-08,-0.924553068,0.38,0.61,0.000349605
Cntnap5a,6.45E-07,-0.925588262,0.583,0.72,0.015022141
Etv1,8.31E-23,-0.933911522,0.973,0.982,1.94E-18
Arhgap15,1.67E-19,-0.946856069,0.909,0.982,3.88E-15
Plcb3,3.70E-15,-0.958419443,0.813,0.927,8.61E-11
Kif26a,1.00E-06,-0.979692212,0.401,0.604,0.023342098
Arl4d,1.52E-06,-0.981012811,0.369,0.585,0.035460898
mt-Nd6,7.33E-08,-1.007178133,0.604,0.762,0.001708156
Abcg1,1.55E-09,-1.011175943,0.54,0.738,3.61E-05
Lpar3,1.83E-11,-1.055997873,0.497,0.78,4.27E-07
Kirrel3,2.75E-09,-1.057457075,0.711,0.848,6.39E-05
Gpc5,8.10E-09,-1.072697616,0.476,0.701,0.000188661
Atpaf2,5.54E-13,-1.076219725,0.936,0.994,1.29E-08
Frzb,1.95E-07,-1.079585342,0.412,0.64,0.004548433
Esr1,7.61E-07,-1.084042344,0.513,0.652,0.017728689
St3gal5,3.61E-07,-1.089226006,0.364,0.61,0.008417103
Gm19461,1.97E-10,-1.133352567,0.439,0.732,4.58E-06
Cthrc1,4.90E-12,-1.154092978,0.524,0.774,1.14E-07
Slc25a36,1.43E-10,-1.156741573,0.594,0.829,3.33E-06
Sema3c,1.85E-16,-1.169948013,0.647,0.902,4.30E-12
Gm43376,7.06E-07,-1.229426358,0.465,0.646,0.016438834
Bc1,1.71E-06,-1.245616832,0.289,0.512,0.039775693
mt-Atp8,4.83E-27,-1.246496187,0.909,0.982,1.12E-22
Vmn1r85,2.14E-09,-1.338766768,0.273,0.567,4.99E-05
Mab21l1,4.69E-18,-1.347991925,0.652,0.866,1.09E-13
Uba52,3.46E-20,-1.350938285,0.743,0.902,8.05E-16
C1ql2,1.72E-08,-1.457709528,0.31,0.555,0.00040047
Ccdc80,1.40E-14,-1.49392974,0.385,0.738,3.27E-10
Col6a5,6.03E-11,-1.610378263,0.358,0.646,1.40E-06
Ptgdr,4.54E-07,-1.612493447,0.187,0.415,0.010578531
Ss18l1,4.16E-07,-1.613115085,0.166,0.384,0.009698156
Chst15,2.90E-12,-1.618918845,0.193,0.537,6.75E-08
Hnmt,1.65E-06,-1.691656694,0.15,0.348,0.03836468
Mrgpra2b,5.16E-10,-2.130235641,0.171,0.47,1.20E-05
Dok6,2.22E-06,-0.630260638,0.711,0.841,0.051777164
Eya1,2.29E-06,-0.624861217,0.733,0.884,0.053301794
Btg3,2.29E-06,0.581724256,0.909,0.835,0.053340686
Mettl22,2.29E-06,1.074717022,0.599,0.348,0.053416738
Map1b,2.34E-06,0.252679912,1,1,0.054435017
Antxrl,2.36E-06,2.016463416,0.198,0.03,0.054907901
Actr2,2.36E-06,-0.372829373,0.952,0.982,0.054976928
Sumo2,2.41E-06,0.240333284,0.984,0.988,0.056152234
