,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Usp46,0.012617458,-0.317802901,0.668,0.762,1
Itga2,0.012620772,-0.764406428,0.332,0.433,1
Col4a1,0.012663623,0.834728655,0.278,0.165,1
Efna5,0.012678908,-0.380681215,0.615,0.707,1
Nxpe2,0.012686498,1.584676429,0.064,0.012,1
Dtna,0.012750691,-0.242432728,0.904,0.921,1
Cav2,0.012764143,1.245019911,0.171,0.079,1
Zcchc3,0.012832347,-0.649161793,0.326,0.421,1
Pakap,0.012846909,-0.469725265,0.674,0.756,1
Spata2l,0.012857991,0.82593987,0.219,0.116,1
Hdac6,0.012863789,0.506673798,0.465,0.329,1
A930015D03Rik,0.0128723,-0.349465524,0.626,0.695,1
Cpne5,0.012910409,1.544868633,0.064,0.012,1
Ppa2,0.012956653,0.221628869,0.872,0.841,1
Usp49,0.012977445,-0.391988846,0.241,0.348,1
Ctbp1,0.013010016,-0.209067559,0.963,0.988,1
Wdr45,0.013024733,0.461628487,0.524,0.39,1
Gadd45g,0.013047041,0.239803753,0.973,0.951,1
Cachd1,0.01305671,0.576132058,0.348,0.22,1
Sult4a1,0.013087991,-0.142465172,0.995,0.994,1
Pdxk,0.0130899,-0.528329122,0.492,0.585,1
Tmem8,0.013117042,0.384643604,0.561,0.396,1
Myo16,0.013133778,0.437191728,0.139,0.055,1
Pradc1,0.013170661,0.425273666,0.401,0.256,1
Acot1,0.01318576,1.057526603,0.176,0.085,1
Gm20275,0.013197632,-0.356474727,0.23,0.329,1
Gm16286,0.013198447,0.204227337,0.947,0.951,1
Snapc1,0.013198925,-0.311323491,0.877,0.86,1
Emc1,0.013207936,-0.276000648,0.711,0.75,1
Ensa,0.013211838,-0.24069877,0.866,0.884,1
Gtf3c6,0.013240364,0.317089343,0.765,0.732,1
Ddb1,0.013259516,-0.29217038,0.914,0.927,1
Grin2d,0.013270846,0.63342532,0.187,0.091,1
Armcx3,0.013297518,-0.328787409,0.813,0.823,1
Bphl,0.013307061,-0.604431694,0.332,0.451,1
Cux1,0.013319692,0.487635473,0.684,0.512,1
Ppargc1b,0.013327117,-0.465410585,0.503,0.579,1
Scn1b,0.01335628,-0.181638609,0.947,0.957,1
Gpr37l1,0.013378081,0.617419061,0.342,0.207,1
Xylt1,0.013394678,1.215944667,0.123,0.049,1
Pdk2,0.013400943,-0.45240667,0.449,0.567,1
Actr1a,0.013435327,0.19040903,0.963,0.939,1
Ppp2r5c,0.01343697,-0.200958116,0.952,0.963,1
Ppm1a,0.013440361,-0.186929381,0.979,0.988,1
0610043K17Rik,0.013453656,-0.499879843,0.348,0.439,1
Tmem192,0.013476467,0.338169608,0.775,0.671,1
Kif5c,0.013479501,0.170707376,0.973,0.976,1
Mavs,0.013491221,-1.040814765,0.096,0.183,1
S100a16,0.013513174,0.75887551,0.326,0.213,1
Ptger3,0.013562969,-0.699138436,0.38,0.476,1
Appbp2,0.01358826,-0.319307747,0.77,0.86,1
Pms1,0.013670291,-1.329944812,0.075,0.152,1
Hcfc2,0.013746742,-0.60863971,0.283,0.384,1
9130019P16Rik,0.013806886,0.241432843,0.118,0.043,1
Pfdn6,0.013831633,0.287130739,0.909,0.884,1
Rps10,0.013842161,0.118332814,1,0.988,1
Celsr1,0.013862112,0.542730181,0.561,0.415,1
Trpm4,0.013865832,0.548959871,0.353,0.22,1
Efs,0.013887021,1.576768387,0.075,0.018,1
Camk4,0.013915904,-0.416584669,0.652,0.732,1
Stub1,0.013943104,0.193811718,0.979,0.963,1
Sc5d,0.013958326,0.298361792,0.936,0.86,1
Larp1,0.013960976,-0.230557221,0.947,0.97,1
Pcnp,0.013962276,-0.206565094,0.973,0.951,1
Pdzd11,0.014037268,0.329536988,0.743,0.64,1
Atp6v1c2,0.014065712,1.028253569,0.096,0.03,1
Fcor,0.014070504,-0.454463453,0.38,0.488,1
Exoc7,0.014092934,-0.75245238,0.449,0.518,1
Nanos1,0.014137194,-1.181576242,0.064,0.14,1
Gm49144,0.014162199,1.025520565,0.096,0.03,1
Armcx5,0.014187264,0.444982082,0.578,0.439,1
Ube2d2a,0.014211502,0.162069105,0.979,0.963,1
Mrpl24,0.014216404,0.335118597,0.77,0.677,1
Bsdc1,0.01423468,-0.400335708,0.519,0.628,1
Klhl41,0.014247702,1.206526174,0.198,0.104,1
Adprhl1,0.014259039,-0.806672588,0.332,0.427,1
Syn3,0.014276242,0.66853651,0.813,0.768,1
Fastk,0.014284408,0.240787355,0.877,0.823,1
Prrc1,0.014293369,-0.458931662,0.594,0.64,1
4930570B17Rik,0.014303361,-1.967449221,0.037,0.104,1
Degs2,0.014328752,1.181220122,0.064,0.012,1
Ankrd46,0.014329022,-0.201894126,0.957,0.927,1
Cpne8,0.014334234,0.206583794,0.957,0.957,1
Stox2,0.014375276,-0.256017354,0.85,0.89,1
Mapk8ip3,0.01437695,-0.180016348,0.957,0.963,1
Tcf7l1,0.014413467,0.893291902,0.241,0.134,1
Ppp1ca,0.014420674,0.1686468,0.968,0.97,1
Slc35b2,0.014426049,0.538816091,0.433,0.293,1
Adam11,0.01442636,-0.831148497,0.07,0.152,1
Necap1,0.014434226,-0.268057675,0.93,0.957,1
Gm35721,0.014435366,-0.97799127,0.043,0.11,1
Csde1,0.014443035,-0.169817598,0.973,0.994,1
Arap1,0.014475102,1.065859274,0.123,0.049,1
Ube2ql1,0.01447611,0.29089628,0.925,0.902,1
Sccpdh,0.014481631,-0.423677368,0.818,0.835,1
Usp22,0.014502933,-0.322443684,0.941,0.976,1
Bud23,0.014599607,0.881326796,0.273,0.165,1
Tmem203,0.014625937,0.356660053,0.449,0.311,1
Gabrb1,0.014641236,0.621882323,0.455,0.341,1
Pth1r,0.014702596,0.277378686,0.749,0.677,1
Cntfr,0.01470672,-0.327885467,0.781,0.793,1
Ddx21,0.014711257,0.281613528,0.556,0.39,1
Pin1,0.014712269,0.276441259,0.957,0.933,1
Dpagt1,0.014714374,0.587860858,0.364,0.232,1
Abhd14b,0.014742971,-0.55567212,0.369,0.463,1
Iscu,0.014762987,-0.157034445,0.984,0.988,1
Ckmt1,0.014791106,-0.365976304,0.802,0.829,1
Khdc4,0.014826452,-0.571955472,0.38,0.47,1
Vwf,0.014854113,1.162318511,0.096,0.03,1
Polr3h,0.014859021,0.285859581,0.652,0.494,1
Tvp23b,0.014870554,-0.509758122,0.455,0.549,1
Mgat3,0.014885333,-0.204356248,0.631,0.707,1
Ndufa4,0.014892813,0.121595432,1,1,1
Il34,0.014905628,1.158647707,0.075,0.018,1
Dnajc2,0.014919939,0.303625898,0.802,0.713,1
Patz1,0.014958406,-0.378419524,0.449,0.537,1
Rab31,0.014965508,0.288046262,0.513,0.372,1
Mgmt,0.014969139,0.941109386,0.166,0.079,1
E230016M11Rik,0.015081712,-0.91572325,0.262,0.354,1
Acvr2a,0.015107788,-0.466990869,0.636,0.701,1
Gsdme,0.015113677,-1.371718959,0.16,0.25,1
Peli3,0.015116902,-0.650766382,0.364,0.463,1
Ahsa1,0.015147425,-0.297835529,0.738,0.811,1
Cnnm2,0.015147894,-0.859620464,0.123,0.22,1
Shroom3,0.015150414,0.88176907,0.193,0.098,1
Mgst1,0.015158482,0.530525341,0.171,0.079,1
Pgp,0.015195361,0.240507907,0.968,0.945,1
Ptprn,0.015198911,-0.22386091,0.984,0.976,1
Khsrp,0.015251153,-0.732796604,0.487,0.561,1
Dennd3,0.015252182,1.256398018,0.086,0.024,1
Gm10069,0.015261726,-0.810993628,0.102,0.189,1
Rsl24d1,0.015269918,-0.40845824,0.626,0.72,1
Psma2,0.015331765,0.273005301,0.979,0.976,1
Amacr,0.015346119,-0.872682666,0.171,0.268,1
Zfp958,0.015380288,0.948376463,0.15,0.067,1
4632404H12Rik,0.015391958,-1.303184376,0.043,0.11,1
Foxp1,0.015442921,-0.325733729,0.813,0.902,1
Phgdh,0.015445162,0.543475951,0.219,0.116,1
P2rx3,0.015483947,-0.235113906,0.668,0.707,1
Trp53rkb,0.015489409,-1.568519028,0.112,0.201,1
Snph,0.015495156,-0.33956837,0.786,0.829,1
C530008M17Rik,0.015502433,-0.25639197,0.866,0.909,1
Naa38,0.015508095,0.205985598,0.968,0.951,1
Ina,0.015532634,0.714756934,0.267,0.159,1
Lhfp,0.015556969,0.382761246,0.353,0.226,1
Gm10785,0.015564306,-1.474262672,0.053,0.122,1
Oaz2,0.015574063,0.306659385,0.963,0.945,1
Ntrk2,0.015577974,-0.316056895,0.914,0.933,1
Clec2l,0.015604555,-0.160027971,0.818,0.915,1
Mmp14,0.015625604,0.812238792,0.16,0.073,1
Arhgef10,0.015662956,0.914416686,0.235,0.134,1
Pigs,0.01567243,-0.467865537,0.62,0.695,1
Capzb,0.015714655,-0.143641312,0.979,0.988,1
Serf2,0.015714908,0.126205102,0.995,0.994,1
Rai1,0.015773482,-0.544799638,0.433,0.512,1
Syt5,0.015811856,0.308046148,0.567,0.445,1
Zfhx3,0.01584176,0.401095739,0.882,0.817,1
Gm11944,0.015849113,-0.805611504,0.235,0.335,1
2700081O15Rik,0.01585535,-0.503176957,0.54,0.622,1
Jsrp1,0.015865738,1.52748665,0.075,0.018,1
Tbc1d15,0.015873007,0.381431322,0.684,0.616,1
Kmt2a,0.015877109,-0.279500214,0.904,0.878,1
Magt1,0.015878272,-0.206236398,0.861,0.866,1
Ikzf2,0.015902737,0.506110281,0.497,0.366,1
Ccpg1os,0.015903157,0.83620896,0.166,0.079,1
Tbcb,0.015941181,0.183127006,0.968,0.957,1
Mrps33,0.015943775,0.209352224,0.995,0.982,1
Rad54l2,0.015979645,-0.545418989,0.487,0.549,1
Lrpprc,0.015994678,-0.476272808,0.834,0.854,1
Ppp3ca,0.016012951,-0.164680046,0.973,1,1
Ccdc160,0.016024589,0.559248706,0.241,0.134,1
Cadm3,0.016044545,-0.263372093,0.936,0.933,1
Il4ra,0.016047203,0.848227657,0.358,0.256,1
Dck,0.016073279,-0.351388619,0.513,0.585,1
