,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
H2afv,0.006034487,-0.145827544,0.888,0.909,1
Tubgcp5,0.000487848,-0.146098937,0.428,0.561,1
Foxp1,0.015442921,-0.146418029,0.813,0.902,1
Pip4k2a,0.000591603,-0.146489865,0.658,0.75,1
Abr,0.002180219,-0.14649386,0.77,0.817,1
Ckmt1,0.014791106,-0.146705935,0.802,0.829,1
Bpnt1,0.004511159,-0.146741351,0.695,0.78,1
Cd99l2,0.003998133,-0.146750805,0.802,0.866,1
Hspd1,0.100122455,-0.146768588,0.957,0.976,1
Tcf20,0.009742813,-0.147173945,0.807,0.854,1
Khsrp,0.015251153,-0.147497635,0.487,0.561,1
F2r,0.010390393,-0.147571797,0.984,0.976,1
Arhgap39,9.13E-05,-0.147612144,0.61,0.72,1
Ntm,0.133232422,-0.147685722,0.273,0.323,1
Jph3,0.004618134,-0.147730428,0.963,0.963,1
Gga1,0.006591653,-0.147912144,0.615,0.671,1
Ddb1,0.013259516,-0.147978905,0.914,0.927,1
Syne1,0.020735118,-0.148064977,0.786,0.811,1
Grik1,0.00039302,-0.148188393,0.289,0.439,1
Vps26b,0.000556438,-0.148529139,0.636,0.732,1
Srsf5,0.00847579,-0.148529579,0.92,0.951,1
Cbx6,0.011153484,-0.148570014,0.963,0.957,1
Klhl13,0.001096852,-0.148646489,0.444,0.573,1
Kmt2a,0.015877109,-0.148657891,0.904,0.878,1
Zfr,0.025926141,-0.148833928,0.947,0.988,1
Rapgef4,0.003714742,-0.148890042,0.797,0.799,1
H2-K1,0.024393456,-0.148937319,0.898,0.915,1
Atp2a2,0.044199214,-0.149049045,0.979,0.982,1
Gab2,0.005995486,-0.149070489,0.743,0.78,1
Fam49a,0.002560714,-0.149215451,0.396,0.506,1
Cdc73,0.002560465,-0.149293991,0.791,0.848,1
Wac,0.020324596,-0.149408844,0.936,0.945,1
Dzip3,0.011278354,-0.149902527,0.834,0.86,1
Iqsec1,0.003582977,-0.149909867,0.679,0.738,1
BC029722,0.00944054,-0.150135423,0.658,0.701,1
Tmcc1,0.008244583,-0.150181324,0.749,0.823,1
Micu1,0.000589955,-0.15019332,0.807,0.878,1
Asap1,0.018820827,-0.150814228,0.973,0.982,1
Banf1,0.003314999,-0.150984898,0.963,0.963,1
Stxbp5,0.000580651,-0.151025997,0.701,0.799,1
Ppp2r1a,0.000888051,-0.151037989,0.979,0.988,1
Nacad,0.012392596,-0.151061907,0.909,0.909,1
9330182L06Rik,0.001659987,-0.151145486,0.759,0.817,1
Nefl,0.005655926,-0.151164467,0.989,1,1
Mapk8ip2,0.000405038,-0.151176169,0.973,0.976,1
Dgcr6,0.003775886,-0.1511846,0.979,0.951,1
Gaa,0.019739294,-0.151231195,0.893,0.878,1
Mapk3,0.000161348,-0.15133075,0.995,1,1
Dpf2,0.001532607,-0.151342879,0.845,0.902,1
Ppp6r2,0.001279116,-0.151445292,0.749,0.817,1
Cbx7,0.000284974,-0.151583659,0.476,0.585,1
Rnf208,0.016867787,-0.151780459,0.861,0.902,1
Clock,0.002355407,-0.151853008,0.77,0.805,1
U2af2,0.000327568,-0.152073908,0.775,0.866,1
Naa30,0.00086941,-0.152434308,0.455,0.573,1
Igip,0.001698978,-0.152464048,0.882,0.86,1
Cpeb3,0.003423845,-0.152528234,0.877,0.896,1
Rragb,0.303008752,-0.152564878,0.299,0.323,1
Usp33,0.000378298,-0.152968155,0.866,0.89,1
Mid2,0.001445701,-0.153229758,0.481,0.591,1
Rcn2,0.016663692,-0.153240674,0.754,0.762,1
Dstyk,0.01033006,-0.153269152,0.679,0.738,1
Hadhb,0.005281535,-0.15347819,0.866,0.884,1
Sccpdh,0.014481631,-0.153485656,0.818,0.835,1
Pip5k1c,0.002233909,-0.153549035,0.85,0.866,1
Siva1,0.010490912,-0.15355349,0.663,0.695,1
Vip,0.07091143,-0.153628817,0.332,0.427,1
Zfp608,0.002016966,-0.153648846,0.749,0.811,1
Lncpint,0.020191459,-0.153729589,0.77,0.884,1
Ralgapa1,0.0096741,-0.153908968,0.93,0.927,1
Prkcd,0.038362667,-0.153983428,0.952,0.921,1
Nedd4,0.000254192,-0.154117313,0.989,0.994,1
Ccni,0.009246063,-0.154353198,0.947,0.945,1
Nyap1,0.000408067,-0.154357848,0.797,0.829,1
Gpbp1,0.010094932,-0.154389372,0.93,0.921,1
Dock9,0.000296876,-0.154389579,0.503,0.622,1
Pak3,0.001904686,-0.154503418,0.578,0.671,1
Mib1,0.002861193,-0.154633776,0.866,0.909,1
Stxbp1,0.010094612,-0.154697494,0.984,0.982,1
Prkx,0.002288154,-0.154713864,0.652,0.726,1
Nup107,0.001581491,-0.154842309,0.487,0.591,1
Abhd16a,0.000299594,-0.15488772,0.604,0.689,1
Tubb2a,0.042452088,-0.154971083,0.979,0.994,1
Acsl1,0.00259519,-0.155074516,0.947,0.933,1
Prpf18,0.003611331,-0.155231102,0.701,0.774,1
Crebbp,0.028027262,-0.155270747,0.84,0.872,1
Lamp1,0.008943206,-0.155311168,0.979,0.988,1
Helz,0.002663596,-0.155385456,0.845,0.909,1
A4galt,0.000276948,-0.155392306,0.572,0.652,1
Gpr45,0.00645456,-0.155422055,0.888,0.909,1
Efr3a,0.004053905,-0.155594365,0.84,0.835,1
Fam241a,0.004586602,-0.1557714,0.754,0.823,1
Aftph,0.001605126,-0.156204555,0.786,0.829,1
Rnf19b,0.000242871,-0.156302849,0.684,0.726,1
Fbxl2,0.001062281,-0.156318829,0.786,0.829,1
Socs1,0.091105499,-0.156512629,0.455,0.488,1
Ttc39b,0.001841945,-0.156607776,0.476,0.585,1
Ptpro,0.006228552,-0.156712946,0.353,0.451,1
Drg1,0.016869623,-0.156732101,0.845,0.854,1
Serinc3,0.002187826,-0.156781382,0.947,0.97,1
Brwd1,0.000486302,-0.156997067,0.733,0.799,1
Trpv1,0.001730566,-0.157057,0.973,0.988,1
Arfgef2,0.003447408,-0.157121163,0.813,0.829,1
Smarca1,0.019204729,-0.157185897,0.668,0.683,1
2310010J17Rik,5.84E-05,-0.157336935,0.487,0.622,1
Rnf220,0.000514079,-0.157362052,0.813,0.854,1
Fbxo31,0.035288109,-0.157566609,0.813,0.902,1
Atp6v1e1,0.009394829,-0.157588973,0.989,1,1
Mtpn,0.003670028,-0.157759253,0.979,0.988,1
Usp45,0.029806518,-0.157987956,0.668,0.762,1
Lifr,0.003107633,-0.158048954,0.989,0.963,1
Ube3c,0.011247228,-0.158189815,0.813,0.823,1
Palm,0.001016585,-0.158269754,0.92,0.902,1
Hmgb2,0.001002156,-0.158443389,0.487,0.628,1
Smim14,0.00100926,-0.158503384,0.984,0.988,1
Ankib1,0.021097079,-0.158658601,0.717,0.78,1
Rcan3,0.007456203,-0.158730156,0.877,0.921,1
Stag2,0.004564946,-0.158768706,0.727,0.817,1
Pdxdc1,0.00420956,-0.158772205,0.711,0.805,1
Rnf123,0.003785818,-0.159416781,0.652,0.72,1
Hdac5,0.001877807,-0.1595191,0.551,0.695,1
Snhg4,0.027941683,-0.159526943,0.749,0.774,1
Usp19,0.004094134,-0.159665422,0.807,0.835,1
Chrnb4,0.002821687,-0.15977829,0.561,0.689,1
Ubn2,0.048826887,-0.159812003,0.775,0.817,1
Scn7a,0.005737017,-0.160043869,0.898,0.951,1
Ptprn,0.015198911,-0.16026757,0.984,0.976,1
Vat1l,0.000440394,-0.160331412,0.984,0.988,1
Zmiz1,0.000698796,-0.160340531,0.84,0.896,1
Sh3bp5l,0.000310416,-0.160366678,0.856,0.878,1
Kcna2,0.000794965,-0.160420244,0.652,0.738,1
Ate1,0.029414089,-0.160429272,0.802,0.86,1
Tardbp,0.006454255,-0.160648566,0.85,0.89,1
Cpeb4,0.00146867,-0.160728779,0.845,0.896,1
Gpha2,8.04E-05,-0.160780545,0.246,0.415,1
Ahcyl2,0.011742889,-0.16079823,0.759,0.762,1
Prkacb,0.000434121,-0.16085323,0.888,0.896,1
Sntg1,0.016521953,-0.160859873,0.61,0.659,1
Arhgap17,0.003354557,-0.161038166,0.626,0.689,1
Rapgef6,0.002029735,-0.161133344,0.829,0.866,1
Tnk2,0.000531772,-0.161178602,0.658,0.732,1
Rrm2b,0.02004075,-0.161192799,0.85,0.835,1
Ost4,0.000932561,-0.161200719,0.973,0.963,1
Phactr2,0.002471359,-0.161276685,0.925,0.951,1
Xpo7,0.00022108,-0.161350713,0.754,0.835,1
Dync1li2,0.001205659,-0.161985796,0.957,0.939,1
Mt3,0.001989315,-0.162012352,1,1,1
Cbl,0.000821093,-0.162237156,0.775,0.872,1
Neto2,0.003404736,-0.162666946,0.904,0.939,1
Nampt,0.000305297,-0.162930208,0.77,0.829,1
Synrg,0.024332516,-0.163124771,0.92,0.951,1
Washc4,0.000265097,-0.163186472,0.749,0.805,1
Rc3h1,0.00833332,-0.163368648,0.93,0.945,1
Nup98,0.004086984,-0.163376435,0.631,0.707,1
Ptprs,0.005440259,-0.163383643,0.882,0.939,1
2210408F21Rik,0.003324089,-0.163460725,0.914,0.89,1
Myo5a,0.005113678,-0.164120045,0.973,0.988,1
Aco2,0.093969064,-0.164143743,0.968,0.976,1
Gas6,0.000251898,-0.16441903,0.567,0.671,1
Rhob,0.008306047,-0.164652012,0.904,0.921,1
Pip5k1b,0.024043808,-0.164930317,0.877,0.921,1
Pakap,0.012846909,-0.165043355,0.674,0.756,1
Mef2a,0.023625566,-0.165182189,0.957,0.976,1
Naaladl2,0.004644078,-0.165544672,0.513,0.591,1
Mcf2l,0.003487032,-0.165793857,0.652,0.695,1
Snrpf,0.000580619,-0.16585682,0.941,0.957,1
Ppp1cb,0.001828747,-0.165991181,0.947,0.97,1
Araf,0.001735401,-0.166031627,0.947,0.945,1
Adcy2,0.058902224,-0.166032842,0.807,0.896,1
Nr1d2,0.000200916,-0.166093043,0.54,0.701,1
Edil3,0.023823415,-0.166313758,0.984,0.976,1
Crmp1,0.00022386,-0.166357251,0.92,0.976,1
Tmem25,0.001331538,-0.166440498,0.594,0.695,1
Nrxn3,0.078909667,-0.166605438,0.973,0.988,1
Stard7,0.002335834,-0.166665121,0.765,0.848,1
Prickle2,0.000152645,-0.167122795,0.455,0.622,1
Tor1aip2,0.000819772,-0.167148466,0.802,0.89,1
Dll3,0.000738776,-0.167287568,0.588,0.677,1
Pds5b,0.000846163,-0.167414483,0.829,0.866,1
Lasp1,0.000898558,-0.167533571,0.861,0.896,1
Tcf12,0.020866875,-0.167695153,0.893,0.927,1
Vps13b,0.002331072,-0.167835767,0.733,0.774,1
Rnf103,0.000854287,-0.167955093,0.706,0.823,1
Map2k1,0.009857459,-0.168143483,0.925,0.951,1
Scg2,0.007405183,-0.168342561,0.952,0.982,1
Slc7a14,0.001407605,-0.168438156,0.968,0.97,1
Adprhl1,0.014259039,-0.168657213,0.332,0.427,1
Kdm6a,0.000731238,-0.168695408,0.754,0.829,1
Nedd4l,0.030217318,-0.169072227,0.963,0.963,1
Habp4,0.071520714,-0.169133235,0.807,0.793,1
Ptgir,0.000416885,-0.169228592,0.781,0.823,1
Rnf214,0.000667179,-0.169234344,0.829,0.866,1
Synj1,0.000145423,-0.169775175,0.93,0.939,1
Gmcl1,0.000611397,-0.169863427,0.717,0.768,1
Bche,6.32E-05,-0.169955813,0.412,0.567,1
Dctn1,0.000634139,-0.169989998,0.979,0.976,1
Htr3a,0.154242613,-0.170178041,0.561,0.665,1
Cdkn1b,0.002354835,-0.170319634,0.797,0.835,1
Ppp3r1,0.001079328,-0.170512972,0.979,0.963,1
Ufsp1,0.000269656,-0.170542658,0.422,0.555,1
Atf2,0.000514754,-0.170552502,0.893,0.915,1
Macrod2,0.064836372,-0.170816665,0.856,0.872,1
Oxr1,0.000168409,-0.171354098,0.829,0.896,1
Alk,0.017458888,-0.171684576,0.567,0.61,1
Snhg14,0.000815772,-0.171763476,0.61,0.726,1
Atp6v1b2,0.001930038,-0.172167948,0.984,0.982,1
Tm9sf3,0.002659384,-0.172493441,0.957,0.927,1
Tsnax,0.005546977,-0.172883947,0.786,0.823,1
Aktip,0.000138849,-0.17296711,0.914,0.902,1
Ap2b1,0.000692898,-0.173542276,0.957,0.976,1
Jph4,0.000765717,-0.173723799,0.984,0.988,1
Slc6a15,0.000775121,-0.174153882,0.909,0.933,1
Rnf19a,0.000446382,-0.17432148,0.914,0.945,1
Smim26,0.002917902,-0.174618164,0.834,0.902,1
Ap1b1,7.14E-05,-0.17470368,0.824,0.872,1
Ubl3,0.001733538,-0.174885499,0.963,0.982,1
Pls3,0.025198622,-0.175051479,0.995,0.982,1
Sdha,0.000810558,-0.175190968,0.952,0.976,1
Bag3,0.000984487,-0.175443755,0.925,0.927,1
Usp34,0.006256878,-0.175519875,0.963,0.945,1
Tbl1xr1,0.000199227,-0.175883859,0.92,0.927,1
Thap2,0.000611952,-0.176054758,0.733,0.768,1
Ckb,0.02667681,-0.176067719,0.973,0.982,1
Rufy3,0.000124428,-0.176237945,0.995,1,1
Vegfb,0.002199051,-0.176274237,0.92,0.927,1
Ncoa2,0.000441732,-0.176372545,0.802,0.902,1
Rnasel,0.000326123,-0.176396733,0.519,0.659,1
Tomm34,0.000361508,-0.17640452,0.882,0.933,1
Lrrtm3,0.001553658,-0.176412866,0.674,0.762,1
Cdk5r1,0.000379607,-0.176564548,0.578,0.689,1
Psd3,0.003484923,-0.176572556,0.829,0.86,1
Abhd8,0.000356558,-0.176634022,0.781,0.835,1
Ldb2,0.004925507,-0.17665451,0.604,0.671,1
Plekhb2,0.00187901,-0.177304174,0.968,0.982,1
Hspa4l,0.001233143,-0.177347748,0.877,0.902,1
Lrrc49,0.000252677,-0.177585844,0.711,0.793,1
Schip1,0.008984458,-0.17773403,0.973,0.982,1
Clint1,0.00037058,-0.177870366,0.824,0.854,1
Hnrnph3,0.000121697,-0.177933893,0.69,0.78,1
Ndufa1,0.001651493,-0.178293875,0.989,0.976,1
Zfp36,0.064426878,-0.178622089,0.759,0.811,1
Acly,0.000120222,-0.178628713,0.984,0.988,1
Clvs1,0.002782526,-0.178677433,0.898,0.915,1
Zfp931,4.50E-05,-0.178984412,0.797,0.909,1
Scg3,0.00408174,-0.179550322,0.925,0.957,1
Ube2q1,0.001222025,-0.179579409,0.898,0.927,1
Ugdh,0.001016699,-0.179588319,0.701,0.756,1
Fryl,0.000113427,-0.179671396,0.872,0.909,1
Ssbp3,0.00049088,-0.179672251,0.973,0.957,1
Abhd12,0.004144207,-0.179744807,0.888,0.921,1
2310009A05Rik,0.003815082,-0.179778302,0.882,0.915,1
Slc25a22,0.000403126,-0.179938503,0.69,0.738,1
Trim67,9.54E-05,-0.1799434,0.668,0.78,1
Arid1b,0.001770163,-0.180076808,0.829,0.86,1
Srek1,0.002017083,-0.18012872,0.69,0.738,1
Xiap,0.000217816,-0.180312844,0.93,0.951,1
Rprd1a,0.000494162,-0.18044075,0.824,0.884,1
Hnrnpk,0.002211858,-0.180812252,0.979,0.982,1
Ncald,0.017174714,-0.181119796,0.952,0.945,1
Dpyd,0.023348297,-0.181795812,0.802,0.811,1
Cntnap2,0.029901494,-0.181973747,1,0.988,1
Sfpq,0.002793981,-0.182012596,0.877,0.866,1
Bsn,0.001696302,-0.182021185,0.877,0.854,1
Cdk5r2,0.000136941,-0.182428193,0.69,0.817,1
Dqx1,0.081898729,-0.182433167,0.07,0.122,1
Fut11,0.000933223,-0.182644006,0.626,0.695,1
Rab27b,0.000243863,-0.182931677,0.684,0.787,1
Hist3h2ba,0.00570664,-0.183200473,0.925,0.909,1
