,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ppp1r15a,0.000905592,-0.199237923,0.62,0.72,1
Isl2,0.000172506,-0.199678272,0.845,0.872,1
9330159F19Rik,0.00029622,-0.20051966,0.877,0.866,1
Ankrd10,0.000107517,-0.200795464,0.658,0.732,1
Hnrnpa2b1,0.000280399,-0.201767521,0.947,0.988,1
Fgf1,8.85E-05,-0.20182765,0.984,0.982,1
Zeb2,0.001327756,-0.202588072,0.979,0.994,1
Serinc1,0.00057101,-0.20328468,1,0.994,1
Osbpl8,0.000911358,-0.203315754,0.957,0.951,1
Yme1l1,0.000143665,-0.204214157,0.824,0.884,1
Kalrn,0.001139974,-0.204738712,0.813,0.854,1
Alg2,0.00014717,-0.204962075,0.765,0.848,1
Specc1l,6.82E-05,-0.205065934,0.727,0.811,1
Slc17a6,9.31E-05,-0.205642498,0.979,0.988,1
Spag9,5.36E-05,-0.206548238,0.952,0.963,1
Ankrd6,8.10E-05,-0.206752156,0.695,0.768,1
St6galnac5,0.001377697,-0.206756536,0.481,0.585,1
Ap1ar,0.002987094,-0.206944573,0.888,0.933,1
Thbd,9.83E-05,-0.206969318,0.481,0.628,1
Pitpnm2,5.43E-05,-0.208241812,0.941,0.945,1
Cacna1e,0.000728847,-0.208254127,0.615,0.726,1
Dock11,0.001890133,-0.20864329,0.786,0.848,1
Nrsn1,0.000245944,-0.208834967,0.984,0.976,1
Lancl2,0.005487252,-0.208908124,0.652,0.726,1
Scamp1,6.23E-05,-0.208958135,0.936,0.97,1
Maml2,0.001078811,-0.208970226,0.615,0.75,1
Gfod1,0.001538509,-0.209090723,0.861,0.872,1
AY036118,0.001872952,-0.209281242,0.524,0.628,1
Bach2,0.000299456,-0.210085059,0.759,0.811,1
Slc9a9,0.000498746,-0.210209668,0.909,0.921,1
Tfdp2,0.001718478,-0.210393197,0.781,0.799,1
Atp1a3,0.000363261,-0.210543858,0.332,0.47,1
Hectd4,0.000189148,-0.211057576,0.904,0.921,1
Rassf5,0.000152619,-0.211113582,0.722,0.823,1
Akap6,0.001885498,-0.211180469,0.957,0.976,1
Zyg11b,0.00016953,-0.211444278,0.941,0.951,1
Cd47,6.19E-05,-0.211715582,0.979,0.988,1
Samd12,0.000184235,-0.21174049,0.925,0.945,1
Ntrk2,0.015577974,-0.21178067,0.914,0.933,1
Cnn3,5.67E-05,-0.211960467,0.947,0.976,1
Ypel5,0.002345483,-0.212193765,0.925,0.957,1
Sema4d,4.91E-05,-0.212461154,0.636,0.756,1
Hsp90b1,0.000605227,-0.212754731,0.968,0.97,1
Spred2,7.16E-05,-0.212826392,0.85,0.878,1
Defb42,0.000131136,-0.213171421,0.824,0.878,1
Calm3,0.00012022,-0.213448116,0.979,0.988,1
Thy1,0.003680912,-0.214012816,0.695,0.829,1
Snhg8,0.000527393,-0.21537149,0.861,0.902,1
Dpp6,0.000472847,-0.21717278,0.963,0.976,1
Hdac9,0.003768888,-0.217787704,0.952,0.963,1
Lingo2,0.00186034,-0.218160946,0.84,0.902,1
Arhgef28,4.65E-05,-0.218551129,0.706,0.768,1
Tmem178b,0.000499079,-0.218571816,0.684,0.787,1
Nr3c2,8.79E-05,-0.218964877,0.283,0.457,1
Klhl32,8.57E-05,-0.218976086,0.492,0.634,1
Ash1l,0.000319432,-0.219882958,0.893,0.915,1
Gm13582,0.035678972,-0.22009211,0.417,0.494,1
Acsl3,0.00049605,-0.22047421,0.936,0.939,1
Mturn,6.26E-05,-0.224839357,0.802,0.872,1
Tmem59,0.000467129,-0.226844805,0.936,0.982,1
Lrpprc,0.015994678,-0.226985772,0.834,0.854,1
AC149090.1,0.007961713,-0.227101672,0.813,0.835,1
Arhgef17,0.006073938,-0.228772349,0.749,0.805,1
Akt1,0.001033171,-0.229877811,0.93,0.963,1
mt-Co3,9.15E-05,-0.231458684,1,1,1
C1ql3,0.002114905,-0.231474521,0.604,0.75,1
Anks1b,4.60E-05,-0.233324385,0.727,0.854,1
Crtac1,0.000205815,-0.233574003,0.995,0.988,1
Ckap5,0.000110609,-0.235631504,0.93,0.957,1
Meg3,0.001011098,-0.23657963,0.979,0.976,1
Rgs7bp,0.006415933,-0.237600901,0.877,0.902,1
Dock7,0.000597039,-0.237862005,0.802,0.854,1
Spock3,9.41E-05,-0.238308247,0.984,0.982,1
Med13,5.24E-05,-0.23931381,0.717,0.823,1
Akt3,4.45E-05,-0.241118219,0.93,0.927,1
Gabrb3,0.000299662,-0.243811643,0.909,0.939,1
C1qtnf7,0.00210467,-0.24739849,0.909,0.945,1
Plcxd3,0.000163356,-0.247827809,0.856,0.872,1
Zfas1,6.42E-05,-0.248819352,0.872,0.902,1
Lonrf2,0.000211814,-0.250415222,0.866,0.909,1
Prkca,0.02235425,-0.252209414,0.69,0.774,1
Oprm1,0.000787888,-0.252682903,0.973,0.976,1
Usp9x,0.00019654,-0.25437671,0.968,0.97,1
Hs6st2,0.000275127,-0.254626562,0.888,0.915,1
Nav3,0.021287619,-0.257267889,0.898,0.896,1
Ppm1h,0.000644715,-0.257693258,0.893,0.902,1
Itm2a,0.003675045,-0.258241018,0.85,0.89,1
Prkn,0.000397546,-0.258498665,0.754,0.787,1
Unc5d,0.000545679,-0.258578042,0.791,0.866,1
Btbd9,0.000130036,-0.258879055,0.759,0.86,1
Trpm3,6.64E-05,-0.258998252,0.626,0.756,1
Magi2,0.000459711,-0.259628742,0.701,0.823,1
Rere,0.007164287,-0.26351457,0.957,0.982,1
Dnajc6,0.000106708,-0.26508807,0.834,0.878,1
Cacna1c,0.000305304,-0.26551853,0.947,0.957,1
Ncam2,0.00086967,-0.266019039,0.963,0.982,1
Atxn10,0.007499459,-0.269508654,0.952,0.994,1
Car10,6.87E-05,-0.270469305,0.952,0.976,1
Ift122,0.000122887,-0.271004487,0.861,0.909,1
Rapsn,8.81E-05,-0.271140903,0.513,0.64,1
Enox1,0.000226465,-0.271470979,0.898,0.939,1
Kctd8,0.000113093,-0.273254132,0.754,0.829,1
Prkg1,0.000994246,-0.27540846,0.984,0.988,1
Zmym4,0.000115597,-0.278517665,0.765,0.793,1
Btg2,0.0001083,-0.279493045,0.856,0.921,1
Rgs4,0.000415113,-0.280866265,0.872,0.89,1
Gm37240,0.007679912,-0.290042603,0.396,0.5,1
Hist1h1c,5.17E-05,-0.295141553,0.866,0.896,1
Slc24a5,0.008257485,-0.297782572,0.77,0.799,1
Mir100hg,4.74E-05,-0.303638017,0.893,0.945,1
Stac,0.000107477,-0.305788846,0.882,0.915,1
Lrp1b,0.000174013,-0.312502188,0.84,0.957,1
Unc5c,0.000140084,-0.317789566,0.882,0.902,1
Fgf14,8.39E-05,-0.325020349,0.765,0.896,1
B230312C02Rik,0.003280017,-0.350577136,0.316,0.445,1
Ifit1,6.15E-05,-0.353523244,0.61,0.756,1
Efcab6,0.001902676,-0.355271509,0.711,0.762,1
Grm7,0.000207708,-0.376817565,0.861,0.909,1
Malat1,0.000107934,-0.394786862,1,1,1
Exd2,0.000258432,-0.944278493,0.904,0.933,1
